,Pitcher,Batter,BatterTeam,TaggedPitchType,PitchCall,PlayResult,RelSpeed,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide
124,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Changeup,StrikeSwinging,,82.26165679073031,12.795697247716298,16.161322731763768,1.1385491727590276,0.971367034477997
125,Matthew Dalquist,Colton Griffin,Stephen f. austin state,Changeup,InPlay,FieldersChoice,82.32912950773368,11.64050117079097,15.503157648449683,0.9282853419456046,1.1201118632586475
126,Matthew Dalquist,Cole Hill,Stephen f. austin state,Slider,BallCalled,,80.73844754660084,5.561002137157338,-6.338256136370349,2.528862619574195,-1.5859614361643022
128,Matthew Dalquist,Cole Hill,Stephen f. austin state,Slider,StrikeCalled,,82.67517590944314,7.220628934566548,-4.922341503844564,2.766331340284082,-0.9933954577414792
129,Matthew Dalquist,Cole Hill,Stephen f. austin state,Changeup,StrikeSwinging,StrikeoutSwinging,82.81766958926795,11.587050512607668,16.02438250250079,0.8680061470639545,0.2313161297497289
161,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Fastball,Foul,,86.062453387101,18.3379119870113,14.069296029809715,2.8957642671586776,1.2414566392259672
162,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Changeup,StrikeSwinging,,80.58612697159991,11.482169878417672,16.848526536859858,1.64009750655755,-0.3368868494580806
163,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Changeup,BallCalled,,81.26019210584195,10.848987584861696,17.890066930927045,1.114938506746603,1.6940528230092853
164,Matthew Dalquist,Brock Knoerr,Stephen f. austin state,Changeup,StrikeSwinging,StrikeoutSwinging,79.84847089039812,11.476586261310686,16.663373863740766,1.1784841414577336,1.2471553147944296
165,Matthew Dalquist,Cal Martin,Stephen f. austin state,Slider,InPlay,Single,81.10319132509785,5.929254690346603,-5.467042302323328,2.468405014852173,0.2109070053972128
166,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Changeup,StrikeSwinging,,79.70756245737147,10.46854878803756,15.32698459024393,1.8508963695427156,1.0578303343740518
167,Matthew Dalquist,Tyree Carr,Stephen f. austin state,Fastball,BallCalled,,88.25499976335638,18.51109640479879,13.785242131705203,1.6177899250358614,0.0377641605876483
